,Date,Day,Name,Type,Details
0,Jan 1,Tuesday,New Year's Day,Federal Holiday, 
1,Jan 4,Friday,World Braille Day,Worldwide observance, 
2,Jan 6,Sunday,Epiphany,Christian, 
3,Jan 7,Monday,Orthodox Christmas Day,Orthodox, 
4,Jan 7,Monday,International Programmers' Day,Worldwide observance, 
5,Jan 13,Sunday,Stephen Foster Memorial Day,Observance, 
6,Jan 14,Monday,Orthodox New Year,Orthodox, 
7,Jan 18,Friday,Lee-Jackson Day,State holiday,Virginia
8,Jan 19,Saturday,Robert E. Lee's Birthday,State holiday,Florida
9,Jan 19,Saturday,Confederate Heroes' Day,State holiday,Texas
10,Jan 20,Sunday,World Religion Day,Worldwide observance, 
11,Jan 21,Monday,Tu Bishvat/Tu B'Shevat,Jewish holiday, 
12,Jan 21,Monday,Martin Luther King Jr. Day,Federal Holiday, 
13,Jan 21,Monday,Robert E. Lee's Birthday,State holiday,"Alabama, Mississippi"
14,Jan 21,Monday,Idaho Human Rights Day,State holiday,Idaho
15,Jan 21,Monday,Civil Rights Day,State holiday,"Arizona, New Hampshire"
16,Jan 26,Saturday,International Customs Day,Worldwide observance, 
17,Jan 27,Sunday,International Day of Commemoration in Memory of the Victims of the Holocaust,United Nations observance, 
18,Jan 27,Sunday,World Leprosy Day,Worldwide observance, 
19,Jan 29,Tuesday,Kansas Day,Observance, 
20,Feb 1,Friday,National Freedom Day,Observance, 
21,Feb 1,Friday,National Wear Red Day,Observance, 
22,Feb 2,Saturday,World Wetlands Day,Worldwide observance, 
23,Feb 2,Saturday,Groundhog Day,Observance, 
24,Feb 3,Sunday,Super Bowl,Sporting event, 
25,Feb 4,Monday,World Cancer Day,United Nations observance, 
26,Feb 4,Monday,Rosa Parks Day,Local observance,"California, Missouri"
27,Feb 5,Tuesday,Chinese New Year,Observance, 
28,Feb 6,Wednesday,International Day of Zero Tolerance for Female Genital Mutilation,United Nations observance, 
29,Feb 11,Monday,International Day of Women and Girls in Science,United Nations observance, 
30,Feb 11,Monday,World Day of the Sick,Worldwide observance, 
31,Feb 12,Tuesday,Lincoln's Birthday,State holiday,"CT,IL,MO,NY,"
32,Feb 12,Tuesday,Lincoln's Birthday,Local observance,Florida
33,Feb 13,Wednesday,World Radio Day,United Nations observance, 
34,Feb 14,Thursday,Valentine's Day,Observance, 
35,Feb 14,Thursday,Statehood Day,Local observance,Arizona
36,Feb 15,Friday,Susan B. Anthony's Birthday,Local observance,"CA,FL,NY,WI,"
37,Feb 16,Saturday,Elizabeth Peratrovich Day,Local observance,Alaska
38,Feb 18,Monday,Presidents' Day,Federal Holiday,"All except DE,GA,IA,IN,KS,KY,LA,NC,NM,RI,WI,"
39,Feb 18,Monday,Daisy Gatson Bates Day,State holiday,Arkansas
40,Feb 20,Wednesday,World Day of Social Justice,United Nations observance, 
41,Feb 21,Thursday,International Mother Language Day,United Nations observance, 
42,Feb 28,Thursday,Linus Pauling Day,Local observance,Oregon
43,Mar 1,Friday,Zero Discrimination Day,United Nations observance, 
44,Mar 1,Friday,Self-Injury Awareness Day,Worldwide observance, 
45,Mar 1,Friday,St. David's Day,"Observance, Christian", 
46,Mar 1,Friday,Read Across America Day,Observance, 
47,Mar 1,Friday,Employee Appreciation Day,Observance, 
48,Mar 2,Saturday,Texas Independence Day,State holiday,Texas
49,Mar 3,Sunday,World Wildlife Day,United Nations observance, 
50,Mar 4,Monday,Maha Shivaratri,Hindu Holiday, 
51,Mar 4,Monday,Casimir Pulaski Day,Local observance,
52,Mar 5,Tuesday,Shrove Tuesday/Mardi Gras,State holiday,", Louisiana"
53,Mar 5,Tuesday,Shrove Tuesday/Mardi Gras,State holiday,
54,Mar 5,Tuesday,Shrove Tuesday/Mardi Gras,"Observance, Christian", 
55,Mar 5,Tuesday,Town Meeting Day,State holiday,Vermont
56,Mar 6,Wednesday,Ash Wednesday,Christian, 
57,Mar 8,Friday,International Women's Day,United Nations observance, 
58,Mar 10,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time, 
59,Mar 14,Thursday,World Kidney Day,Worldwide observance, 
60,Mar 17,Sunday,St. Patrick's Day,"Observance, Christian", 
61,Mar 17,Sunday,Evacuation Day,State holiday,
62,Mar 18,Monday,Evacuation Day observed,State holiday,
63,Mar 20,Wednesday,March Equinox,Season, 
64,Mar 20,Wednesday,International Day of Happiness,United Nations observance, 
65,Mar 21,Thursday,Holi,Hindu Holiday, 
66,Mar 21,Thursday,Purim,Jewish holiday, 
67,Mar 21,Thursday,International Day for the Elimination of Racial Discrimination,United Nations observance, 
68,Mar 21,Thursday,World Poetry Day,United Nations observance, 
69,Mar 21,Thursday,International Day of Nowruz,United Nations observance, 
70,Mar 21,Thursday,World Down Syndrome Day,United Nations observance, 
71,Mar 21,Thursday,International Day of Forests,United Nations observance, 
72,Mar 22,Friday,World Water Day,United Nations observance, 
73,Mar 23,Saturday,World Meteorological Day,United Nations observance, 
74,Mar 24,Sunday,World Tuberculosis Day,United Nations observance, 
75,Mar 24,Sunday,International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,United Nations observance, 
76,Mar 25,Monday,International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade,United Nations observance, 
77,Mar 25,Monday,International Day of Solidarity with Detained and Missing Staff Members,United Nations observance, 
78,Mar 25,Monday,Maryland Day,Local observance,Maryland
79,Mar 25,Monday,Seward's Day,State holiday,Alaska
80,Mar 26,Tuesday,Prince Jonah Kuhio Kalanianaole Day,State holiday,Hawaii
81,Mar 29,Friday,National Vietnam War Veterans Day,Observance, 
82,Mar 30,Saturday,Earth Hour,Worldwide observance, 
83,Mar 31,Sunday,César Chávez Day,State holiday,"AZ**,CA**,CO***,MI**,NM**,NV**,TX***,UT**,WA**,"
84,Apr 1,Monday,April Fool's Day,Worldwide observance, 
85,Apr 1,Monday,César Chávez Day observed,State holiday,
86,Apr 2,Tuesday,World Autism Awareness Day,United Nations observance, 
87,Apr 2,Tuesday,Pascua Florida Day,Local observance,Florida
88,Apr 3,Wednesday,Isra and Mi'raj,Muslim, 
89,Apr 4,Thursday,United Nations' Mine Awareness Day,United Nations observance, 
90,Apr 6,Saturday,International Day of Sport for Development and Peace,United Nations observance, 
91,Apr 6,Saturday,National Tartan Day,Observance, 
92,Apr 7,Sunday,United Nations' World Health Day,United Nations observance, 
93,Apr 7,Sunday,Day of Remembrance of the Victims of the Rwanda Genocide,United Nations observance, 
94,Apr 9,Tuesday,National Library Workers' Day,Observance, 
95,Apr 12,Friday,International Day of Human Space Flight,United Nations observance, 
96,Apr 13,Saturday,Thomas Jefferson's Birthday,Observance, 
97,Apr 14,Sunday,Palm Sunday,Christian, 
98,Apr 15,Monday,Tax Day,Observance, 
99,Apr 15,Monday,Father Damien Day,Local observance,Hawaii
100,Apr 15,Monday,Patriot's Day,State holiday,"Maine, Massachusetts"
101,Apr 15,Monday,Boston Marathon,Sporting event, 
102,Apr 16,Tuesday,Emancipation Day,State holiday,District of Columbia
103,Apr 18,Thursday,Maundy Thursday,Christian, 
104,Apr 18,Thursday,International Day for Monuments and Sites,Worldwide observance, 
105,Apr 19,Friday,Good Friday,State holiday,"CT,DE,HI,IN,KY,LA,NC,ND,NJ,TN,TX***,"
106,Apr 20,Saturday,Holy Saturday,Christian, 
107,Apr 20,Saturday,Passover (first day),Jewish holiday, 
108,Apr 20,Saturday,Chinese Language Day,United Nations observance, 
109,Apr 21,Sunday,Easter Sunday,"Observance, Christian", 
110,Apr 21,Sunday,San Jacinto Day,State holiday,Texas
111,Apr 22,Monday,Earth Day,United Nations observance, 
